titel,aktualitaet,preis,land,versand,link
Shop on eBay,Brand New,$20.00,,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,Brand New,$20.00,,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Alte Gitarre Jolana Star,Nur Ersatzteile |,"CHF 269,86",aus Deutschland,"+CHF 39,98 Versand",https://www.ebay.ch/itm/157398406792?_skw=gitarre&itmmeta=01K7XRMX9PE4XZYRZJ1ZVMSNZS&hash=item24a5ad1688:g:OOUAAeSwXj1oohky&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1czFzukV%2Fw0C%2BYdNAFF1zWFa8bfAUY5FsWB50ZvguQ47usTnjjvQoeeB3xXgFXd8jbKHLsvLNUVpuIL9G6qjj6Hu8bylR5l%2F1Fvmz%2FBJfrEU%2Fz2ARiE8Wu0L3CvSTegliSn61lnSCRKjKLs4%2BPET9SVfwXCQZzMf5gmWgSVo%2F1qwTitP72Dn2lT0LnV4RY6P6AaxVKsP2pJZlv5G60utfCP4P%2BJ8l5gg1uN2sEln9CuCN7jzEWeOiWF6WzqJY8zQbVGQ2Bu7tl%2FDSfyCRgnAIXi%7Ctkp%3ABk9SR6bV07i_Zg
GEWA PURE Klassikgitarre Basic 3/4 schwarz,Brandneu |,"CHF 66,35",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/136605857369?_skw=gitarre&itmmeta=01K7XRMX9PAX75W8SHRBJTT503&hash=item1fce57f659:g:Ut0AAeSwWyNo8QJb&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dD1G0Mz%2F17rmL46O6b%2FV4FQOoLwtz6%2FdW01waODsR2IapBjxpl%2BnnoQ%2FqMRWnUq1wwBxNXxRCpLc%2F9nVuz5N4QWqZFCEM53%2BfxObJIUNXzYCyhatAgmLPtuaYHxUswc0gVBuuD8nCbDz9iuHoC19KMw8Nd8PV6%2FzHKmwYc0K0iM8zhlYuVB06PuH51Zdx%2BvHCQScGu7HZezHy9SYzsL5gQnVCi%2FpZKVdF3pBSHFXCg4c%2BAERVN2XExfvcY7LRFwchsuz86HPCHQdM7jR6h93CK%7Ctkp%3ABk9SR6jV07i_Zg
Gewa Klassikgitarre Student Natural 4/4,Brandneu |,"CHF 113,39",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/136605857262?_skw=gitarre&itmmeta=01K7XRMX9Q9K7G5W0HVYGBRGWS&hash=item1fce57f5ee:g:mU0AAeSw7H5o8QKU&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1d%2FOgp7hyFLc39Q73Sr7wAKUZCrQCRUgUpKce8h5tJrl4P7xiAU7fpMk4X8YzMltGMiTWWWW1xEcZontRcqWNSSPqtVHaAUQgwP8JoIo2r63tLHUswEapHBRvVN3YPjfbp0HW%2BEJX5GVYPG57YRWaXaE5x%2BZwqG16nREnkYM%2BNVYSq9d28SfwRRm2Hbvr5p0c5uqkpAGGtHFt14tBbEKoWQpQyYzsf5QiAhkdyNLMMg8w%3D%3D%7Ctkp%3ABk9SR6jV07i_Zg
La Mancha Rubinito CM/41  1/8 Konzertgitarre,Brandneu |,"CHF 133,54",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/136605857443?_skw=gitarre&itmmeta=01K7XRMX9QBXQF146TJ16T8Q1F&hash=item1fce57f6a3:g:dXoAAeSwpFxo8QMP&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fu%2Bm02kp%2FpT0cTQ7y05AGN5H7WPhDq%2BNKFm4jALeNWn%2Bssx%2B3ne0nmEl3WCXz%2FR%2BhIMvMqRva4y2xQwh0AjgTAUxofruq%2BynmD%2Fok9MmFoF6XpXit5fAjuENDB6is3pG96Mqr3SM8ZnhuDWTqGm4ZD%2B55O9Rzo%2Bu%2F50ibLHUpBnkQNATRRr2WPHlfynDenp9Ivn7Rr3mSneMiXitpy4G34ZzYTjDYa3wy1lE2N%2FcE14A%3D%3D%7Ctkp%3ABk9SR6jV07i_Zg
AKUSTIKGITARRE KONZERTGITARRE 4/4 KLASSIK SATIN FINISH EINSTEIGER MODELL 39 ZOLL,Brandneu |,"CHF 33,59",aus Deutschland,"+CHF 27,63 Versand",https://www.ebay.ch/itm/143535914560?_skw=gitarre&itmmeta=01K7XRMX9QYBB44PKRE2V564C3&hash=item216b683e40:g:h3gAAOSwQY9eS7ZX&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fgKIlEvHulDzFDI2NW2wRihfe1rGopYXYybcLhoniC8gO27kvhTbT85v0siW40T%2BKe28IGE23ps4jhE9ESC8F7SvI%2Fi1nPg98prsFrnCvN%2Fjfc7wy1%2F4890JMUhAajZ6ZI2HG3ILgqh0HvrramLoRgLRKxCGlN2c7QiKf4YoY7LLtlS8DEy1OqVn%2FVjm6r4Z%2FEoJqWX79jtn%2B%2Bhxt62PCYzti7Xlh%2FG%2B4iQHj6tONp6M8dfHf06KV6pceLm%2FVmOF%2BRe67zcdDPgOA4ZJSw2BQ2%7Ctkp%3ABk9SR6jV07i_Zg
GEWA PURE Klassikgitarre Basic 4/4 schwarz,Brandneu |,"CHF 66,35",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/136605857353?_skw=gitarre&itmmeta=01K7XRMX9QKNXXKTVBGPBY8BSP&hash=item1fce57f649:g:qBMAAeSwihFo8QJd&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1epw4%2F7f4OvTeRf8CJZZAr0Fs9y6dQj6IoY7mJL%2FbFRr1IBXWdAzyAWgdCNH5iRSVP0%2BofAG%2B0sy4sXdm5SRTwIcH4I94MsPN8kl%2BdO41Wj97CkqhrEQbrIPxpnU5p4LE1Je2IxN3QUhP4A2er2kXHDlR4I%2Fqnj0xKqfAwI5hC4%2F0eHzxYcj2htchdObaBTna3d7J6LGG9cth%2FoVN9yNuLhFAiWh0zdo99tHFc3O1tbAw%3D%3D%7Ctkp%3ABk9SR6jV07i_Zg
Ortega R-121SNOC Slim Neck Konzertgitarre incl.Tasche,Brandneu |,"CHF 217,53",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/146899858378?_skw=gitarre&itmmeta=01K7XRMX9Q3D30XXHASFTZSM74&hash=item2233e9f3ca:g:3CUAAeSwkZ1o8QLR&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dOTYOVaNZcGNJij5HkrmbJoaBsI39J5RMweXAe%2FAJaiw%2FMRbFz36j4pO1%2Bkst9arQwC38q2Lpi%2BQTe763lHEo%2FYwor5RDo8%2F0dVX3NIcFMQtqONTaUD26o140%2B6qYzOD1W4GtVOtTThaNLp3OSp2mQgJgxc8UeuRVI0EeoPBE1nl7x5cwMQsGxNIRUoTpkyC%2F61um2cvTaYEmYF4hSU%2BTcikRACeONz7AQD%2Bf%2BYM%2BcUg%3D%3D%7Ctkp%3ABk9SR6jV07i_Zg
"Gitarre,4/4, Tasche+Band-IM SET-Kapodaster+extra Saiten+Stimmpfeife!Modell, 22",Brandneu |,"CHF 41,15",aus Deutschland,"+CHF 30,15 Versand",https://www.ebay.ch/itm/191542499532?_skw=gitarre&itmmeta=01K7XRMX9QNBTQGN8VMY04FDCD&hash=item2c98d298cc:g:SvsAAOSw5cNYkxtg&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cXlDJJ8QnKIkFVzGLvoJGVDTJNmgm0g7JbURaQp1guwr3rFWIvozLeXGeT4ojP4PEqLntdWTrdo5QtsKJ6IkwjPcyjTdouNAqIF0F%2FaPr%2F1hHUWxM2bIA6XwRz4ovfN%2FnbHEwtTp1JUGgor8VqSR8hvJvkZ%2BeGcI4hhauL8BPUkJrTOzrC2UDqzhzkF%2BQZ3XCxmsNyVK%2FufpF5p4yJykgTTWgm4AmdQvGWXE9DbRUl4g%3D%3D%7Ctkp%3ABk9SR6jV07i_Zg
GEWA PURE Klassikgitarre Basic 4/4 transparent walnußfarbig,Brandneu |,"CHF 66,35",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/146899858387?_skw=gitarre&itmmeta=01K7XRMX9QPATK084H4N3NZ4ES&hash=item2233e9f3d3:g:qOEAAeSwrNFo8QMI&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1c6%2Fk%2Fp5wx95mX98oH%2BO8JaOok6py7PCI8E7ayc0rBW%2BwNeDit%2FIRpiRNz358UDL%2BFG0yEN%2BsoNO2qrTFwkaKnVmx%2BQe0Da%2FwiVqrf3C99R1X215GKVPKfZIG3u6qSHsJLYRrvbQ4Fl1YRZpeFPTqhJ9NEfz9Y9k26pF9LpY%2BbghHLwR8eVfDadgLIZOCS6BDwbrirczR%2BnTZFTNENSFWigAFKYmml4UwtEq7yJXHd6EQ%3D%3D%7Ctkp%3ABk9SR6jV07i_Zg
GEWA PURE Klassikgitarre Basic 1/2 walnußfarbig,Brandneu |,"CHF 57,95",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/136605857325?_skw=gitarre&itmmeta=01K7XRMX9Q5MWRTMMN8NEY82MB&hash=item1fce57f62d:g:ES8AAeSw81xo8QMJ&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cV41he1TwiEv0SHyYum4uztB2H3LVZUJvN0DPy6wet%2BygnHUuhMsFbnuPREPGTzf7%2BfwPktszzOldrjrqFdPvE4d3xIQf6iZ53JigcnR%2BW2WcumV5GV%2FvkWr4rlEz1pDkA1ViRJ9fqILHRErR5F9trpjHLpxeE2aQ6BB2gZAuZUUdNUfgyZa2Vd5TXrpkUvfJAnGFYOdU2SbnLdWeca02pHYIabHdd%2B68QYVsnSxCeab0toFMFj%2FYE%2FNL94NKWZqSfRfbAWvAvJ9RTb3GpOD6j%7Ctkp%3ABk9SR6jV07i_Zg
GEWA PURE Klassikgitarre Basic 3/4 transparent rot,Brandneu |,"CHF 66,35",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/136605857366?_skw=gitarre&itmmeta=01K7XRMX9Q03FCTMGNRHMDDEMX&hash=item1fce57f656:g:VVYAAeSwOito8QJc&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1choewC8lmlT6NDqQ%2BOmvnX5mB3m5dlJYuMeObUlFyAV8Nu24z9nfROrp%2BBkTO4Qvp48ycqzll5pHAgel3nVSvHIObS0ZicqgY1zDMHOELXEXtC86AyVxPPyc7zbMYHWC3kb1VjzG9j73Lhn38LqtsLxK4yJmJ1aNusTwnTR8LblWk5OBC7B1jatyijIiMMygqX6PVKu7gjXB%2FGbqBdC8%2F6VH7H%2FDRBKGXzorp3BkHdtA%3D%3D%7Ctkp%3ABk9SR6jV07i_Zg
4/4 SPRUCE FLAMENCA GUITAR Flamenca Gitarre,Brandneu |,"CHF 134,34",aus Deutschland,"+CHF 25,16 Versand",https://www.ebay.ch/itm/226903789414?_skw=gitarre&itmmeta=01K7XRMX9QDTAS1BW5CYN589JM&hash=item34d4850f66:g:s70AAeSwAupo75yu&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fyEulbAnB4mjGgr6it%2Fb4HnfUPFWogcRMb25qKn6CB0Od74LZzensBLDXu%2F54vv8DbZIzg3SNdqkXsFDaK8OLp5BjB119eAyBBpxsNnHAw7YV7sF13eGGZ2BgIPJirNXRzCENB%2FvVJWQ%2FBVPrc01Y67daQJVfOiqIbIP2prPhCgCRBRhHExSYp64kqjz53g%2Ff3d%2BXP8wxx60oxaHyTQgBMPJeE8av505Apu6AM2KQKorvyHJCZA%2BT5DX2RA%2FTG%2FYahzS2i%2FQSvbQu6IK7YEV2z%7Ctkp%3ABk9SR6jV07i_Zg
GEWA PURE Klassikgitarre Basic 1/2 schwarz,Brandneu |,"CHF 57,95",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/146899858379?_skw=gitarre&itmmeta=01K7XRMX9QE14EX0ZCZ5G240DE&hash=item2233e9f3cb:g:iZUAAeSwYdBo8QJc&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1e9XoZzPKYjFY86XtCMc4GIFHlJVtA0YT7a4o2yQSxSAFQ40f6IdBEW2GoF3QAo1amAikpBjXP9LH6nlyHil8yO44P85Anxz2tsj9Snz4V5tF2AvK5P4qTWq%2BQWDba5zv1%2FmCDwnVeUmZa%2B4uUbYejVrc%2Bch%2BNUAfkKJmEqZPeSlUMKvZNzfYX%2BxiQc58qQm7bvlV08dRV1pO%2Fe%2Bngx3teANE3KU68LLU0vtwhe2qjCnQ%3D%3D%7Ctkp%3ABk9SR6jV07i_Zg
GEWA PURE Klassikgitarre Basic 1/4 walnußfarbig,Brandneu |,"CHF 57,95",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/146899858373?_skw=gitarre&itmmeta=01K7XRMX9Q29MJBN5BAD0YVZQA&hash=item2233e9f3c5:g:egcAAeSwR3xo8QJa&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dAo6Wy0izllXrW2DwpLTDYel2GXxpe85GkhYGIjFnx0CsY1dHMd8dzg%2FYFlJTBW1Rta2X8DMHnlOJJD82OsqUi0a%2BFp52k38PksJn7WXKSch6uqg3%2B2SrzSBj2jvAHwTqFrX%2FfF98hB3G6BDLFEpb2PWx5b8EAQmqu0GwVofKVkVJ9tDN9K2Wy7rngv5C1OwTUA6XLGBXCSxCoHzVddPP0CqFsF5gOJiwh9hRDWa%2FoAg%3D%3D%7Ctkp%3ABk9SR6jV07i_Zg
