titel,aktualitaet,preis,land,versand,link
Shop on eBay,Brand New,$20.00,aus Schweiz,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Shop on eBay,Brand New,$20.00,aus Schweiz,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw
Gitarre Esge ca. 105 cm,Gebraucht |,"CHF 448,77",aus Deutschland,"+CHF 34,98 Versand",https://www.ebay.ch/itm/317428980265?_skw=gitarre&itmmeta=01K7XTDGPK67M37KPS0JQTYHEJ&hash=item49e83dda29:g:DqEAAeSw58VowTdd&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1ffQaqx2q0WakcuvjB%2FLh38Pu8DqEqdhXH82NGmhMDb2Xdm6Wq%2FT4zufpsZhzdRLLbWDfr%2B5TATpieNsB1vLWZZJiQZLOAU%2FzS%2BUBs0ciKyHLXhYvFwvuvTcu7uvqXTOKhvn0KmGlrdqOZYHJOx7D%2Fa5GJfwGVy6B3xalAuFq878TDBdQns9k7D29XHN7ti%2Fot%2Bpi1NcK9nuqns0RUlB7zU%2FRirOtXM3e7NLEGbdXqhtQ%3D%3D%7Ctkp%3ABk9SR-aLtrq_Zg
AKUSTIKGITARRE KONZERTGITARRE 4/4 KLASSIK MATT FINISH EINSTEIGER MODELL 39 ZOLL,Brandneu |,"CHF 33,59",aus Deutschland,"+CHF 27,63 Versand",https://www.ebay.ch/itm/144287407464?_skw=gitarre&itmmeta=01K7XTDGPK9MY2C3YCQ2J37X3B&hash=item2198331d68:g:h3gAAOSwQY9eS7ZX&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dB%2B8OkzRij%2FVnwanFYes5ogK5Gg19L6bwON6lpesZJah6emTkCK4AjNuX1K%2FNIqbPXwnLek3lAdQSdO8srkXsBJid4bpJ73LdtzLP0pgIfuCgXyHxa3sc2cp3n4%2BUnjAaFT8wPPerLFty%2FA6NG2z2ZDqX400vPrjhMjYDm0ThVbOa%2BPzZFJO%2FzknGous4ohwZmgCL9hysA1Q06yjUwGiScvvM0NFsfVLQsPqAlT%2FVX8A%3D%3D%7Ctkp%3ABk9SR-aLtrq_Zg
Ortega R-121-3/4OC  3/4  Konzertgitarre incl.Tasche,Brandneu |,"CHF 175,54",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/146899858377?_skw=gitarre&itmmeta=01K7XTDGPKMJE8HFXMP5F6W3QK&hash=item2233e9f3c9:g:UBYAAeSwfHto8QMI&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cwbeo%2BaIu4wxEZYheAfgAouDq4RCE5FbMUpiY%2FCUuaiDM0sbetDzEPvG8TiyfUmGjw%2BI%2FXcIJ4JlzKCXSihSX2vOUYSjMLrGznEcNbkv4L6CwCo7SzhYbhl0TmZQKWMNApFahG0wAFFHvZLCsleQqAWEGHHUpfTXOH6EnUBVn6WJOMDZ2q%2BFKHorvDB7lc2YKANuvXVAPL%2FzpjP34GxKwrdRftGCU1mFkScLetbz4ymquT4pQGBG5vhvrMnjblGou7NuWk3Oo%2BxG2b4Bwa7dV9%7Ctkp%3ABk9SR-aLtrq_Zg
Alte Gitarre Jolana Star,Nur Ersatzteile |,"CHF 269,86",aus Deutschland,"+CHF 39,98 Versand",https://www.ebay.ch/itm/157398406792?_skw=gitarre&itmmeta=01K7XTDGPKEWHY19JQYWBGYCHV&hash=item24a5ad1688:g:OOUAAeSwXj1oohky&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1czFzukV%2Fw0C%2BYdNAFF1zWFa8bfAUY5FsWB50ZvguQ47usTnjjvQoeeB3xXgFXd8jbKHLsvLNUVpuIL9G6qjj6Hu8bylR5l%2F1Fvmz%2FBJfrEU%2Fz2ARiE8Wu0L3CvSTegliRQmjyY4WSdKXB77KP8Xba89OnDrgAE8Ng%2B2uYVwwI1RYYjMHO8XnrtJrNuDz%2Bk5Y2fqAM5Vfz1jn6BGN%2BQIDicAxGuPIRwaCiYhcJjySHOxFBmHYb0Ze6dtf64w%2FftS0fhSIAk5FTk%2FXVYjS5oAb8J%7Ctkp%3ABk9SR-aLtrq_Zg
GEWA PURE Klassikgitarre Basic 3/4 schwarz,Brandneu |,"CHF 66,35",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/136605857369?_skw=gitarre&itmmeta=01K7XTDGPKVHAKCJ9D19Q2EQND&hash=item1fce57f659:g:Ut0AAeSwWyNo8QJb&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fRgrGdjV5vdDBH3CZHcC8qBNijZZ3xXuJ%2BF%2BQJDbbp5w428UdsctI2Jf2JZ%2ByJJhEsw6semyBEVouf65z5MkgpxYAKDu7nVv6zGMv%2FFJrvq6HoZ0NPDqLnxZAtr2A3mZXUbaxEof9Umbae5UsZ%2BCxgw5rHkTT6LqpJB2XBSLkMpHvX%2FgeQyIJZxT2VMAHD4%2FROxNPIdexrJ2%2F9K4JSc0bEhNfVK%2Bprlk8vLmFA7d%2BJHg%3D%3D%7Ctkp%3ABk9SR-aLtrq_Zg
Gewa Klassikgitarre Student Natural 4/4,Brandneu |,"CHF 113,39",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/136605857262?_skw=gitarre&itmmeta=01K7XTDGPKRDR3HG9YTHEBYFS2&hash=item1fce57f5ee:g:mU0AAeSw7H5o8QKU&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1crKVDWO%2BGWsJIa5V9C8%2B7y4Dm5QeZxXGaPXvmlpAR9Lg3EpzcjzPsJumJ2oArcIDEx4wCWpJF6rEsjd%2BvkAo5XAkv16J2gg0cYTDze8Q4wzla0sMLcs8vyTEd79Hu4NzMpnOoK0rApEXOlmu1yr%2B0nzMCnOnRMp2vuvFeKr50pb6qw6TpGrE0JvrQqUKiWhCOzy0MjAVZefXEwXQWGrx7Y45N0nxYM9Gfxmb5eeI%2FMHIbkycqLweAsRPIzAQIY%2F6mocDLaZzNGv4fheshF67eK%7Ctkp%3ABk9SR-aLtrq_Zg
La Mancha Rubinito CM/41  1/8 Konzertgitarre,Brandneu |,"CHF 133,54",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/136605857443?_skw=gitarre&itmmeta=01K7XTDGPK2S1A2XSW2MPDSKQJ&hash=item1fce57f6a3:g:dXoAAeSwpFxo8QMP&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fu%2Bm02kp%2FpT0cTQ7y05AGN5H7WPhDq%2BNKFm4jALeNWnzH9GWgE%2BGBPdVl16QNtIXgurkNuma3CWI6O6ZoMhpQJbrzYGhfVx3euZQe%2BQamBYArkOQkiW7%2FsjeO3JdJOlEnQGe0XyES1UUw5C4oe8%2BQIwgxhkqU6BUz%2B6ZES8qKLRp1FS6WQtIf4LEmXoY0OXsCBP28Q9Q3T1xhxEgAoHEHGAwax7LKcohfmfgHioOUbSw%3D%3D%7Ctkp%3ABk9SR-aLtrq_Zg
GEWA PURE Klassikgitarre Basic 4/4 schwarz,Brandneu |,"CHF 66,35",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/136605857353?_skw=gitarre&itmmeta=01K7XTDGPK20WM41M7Y9TR8B1W&hash=item1fce57f649:g:qBMAAeSwihFo8QJd&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cAHTGa3BDmo1%2F5HRQSyjNb0RNgT%2F3GKX5x7Sa4zvPyj3Szc%2FYDmwu9Al%2BTt2ry8Ig3bJLMMzw2Mx5W2Fpkf5NeT1m8JKBfyTQBBHtUVRfwKqsLrjON6Lh%2F9QC89J8cHdpjzY1m6GTp%2Fz4fUu7muUWnZZPtT36PjU%2F67XKj6hqj4E47T0nPCKeyo6ilf8II8CUZ%2FaidPDbjYX0atg7VfBzhiwkt7C7WvIBUve09YW2TdSoDYP8R7rzdcfyRq3b%2BnMTaWh%2FlySWrISGUfiHEwek6%7Ctkp%3ABk9SR-aLtrq_Zg
Ortega R-121SNOC Slim Neck Konzertgitarre incl.Tasche,Brandneu |,"CHF 217,53",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/146899858378?_skw=gitarre&itmmeta=01K7XTDGPMQV67J5R0H4M9R1ZJ&hash=item2233e9f3ca:g:3CUAAeSwkZ1o8QLR&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dOTYOVaNZcGNJij5HkrmbJoaBsI39J5RMweXAe%2FAJai0GdwrJPI4L%2BZQw7E5FZJ50gwBXkeSXbvW%2BobkI8eJcLoaYBwAH7eYbLPpmyAdEhbSGRSOHpxnL7tVaXWa3ERpfliY3WJ9js%2FzAZJv0D4mPRGTmkwuwr57OCpTwVjQTsnzZngcoqNUNmoKOhIImr8Gh%2Fo60hhuAiXsh71qy87jBXqY2YnM9hIuny81ZaBX6gDw%3D%3D%7Ctkp%3ABk9SR-aLtrq_Zg
"Gitarre,4/4, Tasche+Band-IM SET-Kapodaster+extra Saiten+Stimmpfeife!Modell, 22",Brandneu |,"CHF 41,15",aus Deutschland,"+CHF 30,15 Versand",https://www.ebay.ch/itm/191542499532?_skw=gitarre&itmmeta=01K7XTDGPM5VDMEW0X3JKFQEDH&hash=item2c98d298cc:g:SvsAAOSw5cNYkxtg&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fXiMiymglO0LjG7Ah9m2jWccIQUJ3a7IUTenKs%2BMCjYihk88GCqREnAOxYuqt4kEYEU6xFMvWvOqNXA%2Bq8UqYNmvENPu5%2BzBv3q8d25Mq70z0yP8t3IBY92Kg%2BdL1HlaGMlpF9oSz%2F7laQ7tFdFskgJnYj1FL25WXEwI%2BRBfq3lyxODKiOR%2BKhjQvPcmuBs6gG7yCJM2uNn1KJI7TKUAf9TmT0QiLoF9RGtYz7iQXTxlT1KSDucVbByXlW1McEMJUwDP29Z4meCnpD7bqpWeqg%7Ctkp%3ABk9SR-aLtrq_Zg
GEWA PURE Klassikgitarre Basic 4/4 transparent walnußfarbig,Brandneu |,"CHF 66,35",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/146899858387?_skw=gitarre&itmmeta=01K7XTDGPM8A129YHT554TSEJ6&hash=item2233e9f3d3:g:qOEAAeSwrNFo8QMI&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1f%2B0tausnc11VjjaXuaY1Gz3qhFdLBOaIpgWO9rOjBc0LJCWzM0%2FQ5G8xGq%2FCNzyVvYCE38oekvJwrguXBJ3rnJ4%2Fz6HsZP6Nr3%2B5n1NSsQEB6x%2FDLyZHDOTLLRtH19AH4yE%2BN%2FBup9NtJiDi7qwa4lfffqF5jlPEr%2FdtxeaifyhWfXIOb52ZIIiCqYmAizhZP2%2FiFlZKI1L2Kx9SwOUglfWM7t%2F71EEoEPFCGao54COxwQG%2BmoMT1BTkvgvbErK%2BgqEO8qQkmIeWhuC449Okv6%7Ctkp%3ABk9SR-aLtrq_Zg
GEWA PURE Klassikgitarre Basic 1/2 walnußfarbig,Brandneu |,"CHF 57,95",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/136605857325?_skw=gitarre&itmmeta=01K7XTDGPMRS8R7FR9KRPT20RM&hash=item1fce57f62d:g:ES8AAeSw81xo8QMJ&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eyoa1KqLIKsXhijbmOoxfroBb9HFNKxPMCdnJusgRE1Viq%2FAYIv8sXIXq4gWVaD5nTnWbDfHOz%2BSTQM60kXmhPEOD0niZrZZ29AZnhcbw1pJ2vOCtwc9FCCxHIJYCsBSdsv%2Bus2ytrSLVK15jOFxNEAKAlBDt78pQnGRaaoIaulYY9kqgSJXBmytm%2BHmVMbzIueFkIHFk3Qz4Cya4sm3keWnD%2BS%2Bx58da9U22ic0cDYg%3D%3D%7Ctkp%3ABk9SR-iLtrq_Zg
GEWA PURE Klassikgitarre Basic 3/4 transparent rot,Brandneu |,"CHF 66,35",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/136605857366?_skw=gitarre&itmmeta=01K7XTDGPMB1F0ANF5FSB7MAGN&hash=item1fce57f656:g:VVYAAeSwOito8QJc&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1choewC8lmlT6NDqQ%2BOmvnX5mB3m5dlJYuMeObUlFyAV6JfV3CibtC206pDf%2FhdWhl04rv9hyXFMDHT%2FDLrb7ELpMcI7P%2F3dQVqEUcTbmD0Tpl8eXEMyT1j9aO55gYND2Vgm6sgZ8MFJx9hSfVOUkEDnpbCRmDeh6soam4QAnXsL0aiasQlacX9PzbrJGoYbNo7aql%2BcNhs%2FXaaBU5IsrNErAsKRgs8ywPOg0NzHDCo7g%3D%3D%7Ctkp%3ABk9SR-iLtrq_Zg
4/4 SPRUCE FLAMENCA GUITAR Flamenca Gitarre,Brandneu |,"CHF 134,34",aus Deutschland,"+CHF 25,16 Versand",https://www.ebay.ch/itm/226903789414?_skw=gitarre&itmmeta=01K7XTDGPMZ7YR0F5T1893PW3F&hash=item34d4850f66:g:s70AAeSwAupo75yu&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fyEulbAnB4mjGgr6it%2Fb4HnfUPFWogcRMb25qKn6CB0Od74LZzensBLDXu%2F54vv8DbZIzg3SNdqkXsFDaK8OLp5BjB119eAyBBpxsNnHAw7YV7sF13eGGZ2BgIPJirNXRo%2B5s9VBRZ6sFz%2B2F6Salb0dI4zS7f9dXZwYI%2FWhNfckgITPQkgjt5ipI25gpkMFItba7By%2FumC1tkQRrjzrBhNIy%2FAVVEDSn5%2B496P5lkIIWBA4k%2BST6naBBLYqXBYPaebRV5y%2BUFn6XH4fPymU2g%7Ctkp%3ABk9SR-iLtrq_Zg
GEWA PURE Klassikgitarre Basic 1/2 schwarz,Brandneu |,"CHF 57,95",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/146899858379?_skw=gitarre&itmmeta=01K7XTDGPMZW1HMS4ZMSS5QM84&hash=item2233e9f3cb:g:iZUAAeSwYdBo8QJc&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1e9XoZzPKYjFY86XtCMc4GIFHlJVtA0YT7a4o2yQSxSAJCGlGFJbuUqeAyXVlngGt%2B3aZ2PNFFl8W1nJexzEQte6UTEXs3ngXUkSX9vF4HVDmkGmvbUbAPlv2%2BGAislewi2Ehm4sTRHiqfBMgB9GSPkltbn6s7p7GesoYMHPhJqqcly29svpWEk%2BqwnStn91X07POTiFRsgZ%2FBLnWhSX7fUwoETmXa7dLuhiM9%2Fu9ZgPw%3D%3D%7Ctkp%3ABk9SR-iLtrq_Zg
GEWA PURE Klassikgitarre Basic 1/4 walnußfarbig,Brandneu |,"CHF 57,95",aus Deutschland,"+CHF 8,32 Versand",https://www.ebay.ch/itm/146899858373?_skw=gitarre&itmmeta=01K7XTDGPMZAR0P8C5E4Z5R14V&hash=item2233e9f3c5:g:egcAAeSwR3xo8QJa&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1dAo6Wy0izllXrW2DwpLTDYel2GXxpe85GkhYGIjFnx0OYE8tOJlG4EaHfSIn3JyIAv7%2BDA9hf5Ni2p%2FxN5J8Lv4QqCyw8JClWhIA2nwnVCljDtXHVuL70YnOpbGyULUrHXbczBpLyEAEs%2BHuy9d1xzT4FoiWE%2FEMTDSbAvdTGEKFlA7Y8My27V3Ip5WRT3c15DW9arykinpk4EjW5H80ETsCeMN3GphBG5vYXqUOg0Yg%3D%3D%7Ctkp%3ABk9SR-iLtrq_Zg
