title,product_condition,price,currency,product_origin,shipping_cost,price_with_shipping,product_name,link,image
Elan SCX Stiletto 80cm Skitrainer Monoblock kurz Übungsski Anfang 2000er,Neu (Sonstige),52.23,CHF,Vereinigte Staaten von Amerika,50.17,102.4,Ski,https://www.ebay.ch/itm/197923791097?_skw=ski&itmmeta=01KC1D11A95X8D2RRH7P8R8BQ4&hash=item2e152d60f9:g:wHIAAeSwDphpMfX7&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fxrjItdciBj%2BO3IIQpd%2F0tWGgncj5HGH7wedqqpAiW8bYLth6GV%2FNolRp6yjyV%2FcQJoRTQDpBZWQeEDkgatqloqcqbWOsh8Z4C8U7DZhK%2BtHuJxZcGqtBp%2FapR%2F%2BZlL60mSZWEguFN6Nv0d2KBuD3bJtauQwJKiOrsrFGHO6%2B3s89%2BLSemJw0aGInEXMv2xqPs5KYnSku4JylrvWallCS%2BncCn76YNxXE2VLozWY4nXQ%3D%3D%7Ctkp%3ABk9SR-CVhK3gZg,https://i.ebayimg.com/images/g/wHIAAeSwDphpMfX7/s-l500.webp
"1 Paar LANGLAUF-SKI-KLETTBÄNDER KEMPER de Luxe, Skihalter   --NEU",Brandneu,2.43,CHF,Deutschland,7.6,10.03,Ski,https://www.ebay.ch/itm/365365212060?_skw=ski&itmmeta=01KC1D11A9RMEC16N0GQS3750C&hash=item551176b39c:g:1scAAOSw6pNndpL9&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cPoNMmC0PzlviiY1Iib5pk5GKjjz9ReXiRMqA0ILCd31CItcFSVpYvAzh4xEYbqAISlSWQrEzvhv3%2BsWGy2gryE1GZYq7uSPOEF8WRUbDlMUxlrThgmZ%2Fn4YE%2BF6U7BthyPblQxAV9eEPQq9pMr9bBTW3m%2FWTGvYd7REC8k6Ge3Mosmy9Fxg40jRMdXKL--46HfYsbJvzoc92O2mS41fbtIF6TZBzc7HOhWBcYfK0yaQ%3D%3D%7Ctkp%3ABk9SR-CVhK3gZg,https://i.ebayimg.com/images/g/1scAAOSw6pNndpL9/s-l500.webp
FISCHER Langlauf Skier Schuhe Gr 39 Wieneue,Gebraucht,49.72,CHF,Deutschland,10.14,59.86,Ski,https://www.ebay.ch/itm/388399821093?_skw=ski&itmmeta=01KC1D11A9FB9CFQ8K37XDTG9E&hash=item5a6e6ef125:g:x9YAAeSwAzFoIIAa&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cZ%2BNm8BGaxuMdbvafqKI%2FVe7UohgFbHYe7bvGZW68rh6cGyhcaxzWQNE6dI2hlaKVxnwyTnjCLi2mqH6Ns7Wix1mTIcCeJqRZaLLmW1L84D9bvMtQYu2obmKPZNJE%2FmU2k0PmBo5geb7fn7m7n0eFJ24BlLW9uRsLcj9%2B1I23fnxcIE4EMgzFHXx%2F%2BgFxWULa%2B%2B0vdTzLqxKzXzl6JxMjnd%2B5KfQVGMY3ndqCni4WokoEvuZrA%2FZ4258CsTQfwwjOKw%2FS%2BfL7otY%2BZ6HWDNbF8%7Ctkp%3ABFBM4JWEreBm,https://i.ebayimg.com/images/g/x9YAAeSwAzFoIIAa/s-l500.webp
"Neues Angebot Vintage Holz Jugend Schnee Ski - 41""",Gebraucht,43.17,CHF,Vereinigte Staaten von Amerika,56.62,99.78999999999999,Ski,https://www.ebay.ch/itm/397372373033?_skw=ski&itmmeta=01KC1D11A9K55AVCD7017TXEYX&hash=item5c853d3829:g:6hsAAeSwE6dpN3ga&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fgzlZ6mOhdvN%2FeCxfXBkllloX0oUGE8658E7HwvJ96S14saXS90ccHky3M1WuRKiWPHvPZweyVjgR49bY0uNOfONCVXUmiv1AATkkDNSyJC%2FgFAD0uONx8HkOZGRY8X26TDmqQ9GPXNYRMou4z0z6ewnMqvtTp0bX5xOrxkZz2DlreNwjNLs7qXSzN4wMN9yyRdgmYekGd%2FOS%2Fh6WTIaAkRtH77io%2BMb0DXpdRlOYLYD4WNoce3MqZPhyVjRW9GhBIra2JyTSMlZ3Brhbc6azt%7Ctkp%3ABFBM4JWEreBm,https://i.ebayimg.com/images/g/6hsAAeSwE6dpN3ga/s-l500.webp
Neues Angebot Rossignol E750 Langlaufski mit Bindung,Gebraucht,47.97,CHF,Vereinigte Staaten von Amerika,55.75,103.72,Ski,https://www.ebay.ch/itm/317639972492?_skw=ski&itmmeta=01KC1D11A9XT877M2BH5R4DZVE&hash=item49f4d1568c:g:LRsAAeSw48ZpN3PY&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dLIGGDhiq3PI7FK5U2F4KJLY8M7SVx6fmFP0aQjBUtjKffXKAl6ZvoeVeSlNzTDIry%2B7lT8IrVbVOHLadk7xKMAhlA26yKGB6XZLCmoALiEWZ%2B8Se9%2BpHBbYtdzC4XMcx9jMljtJNVpbCvnrwlqPX4%2BRf6jHOcraBhTeNDeU%2FfR8739xBghDoioBqB3nCB1XYch0jhe86csB0np0%2FuWgX%2Fehx3GURJHLMq3YZcpRS3W%2FL59Sh7T3fTRGQDP8Y%2FiJGswt%2BhB6iWJCmGygaEK6uB%7Ctkp%3ABFBM4JWEreBm,https://i.ebayimg.com/images/g/LRsAAeSw48ZpN3PY/s-l500.webp
Head Speed Blue Original Skigurte World Cup Rebels Racing (Paar),Neu (Sonstige),26.16,CHF,Ukraine,8.72,34.88,Ski,https://www.ebay.ch/itm/406360205087?_skw=ski&itmmeta=01KC1D11A9EQNQ22BJS5710J5N&hash=item5e9cf4a71f:g:7qUAAeSwuVdpDhVq&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fvbGF1qBUMrTZt%2BVCyRlv5FD%2BYqP7elmVHwqZt8%2BSlZ34%2Fd7bvbpMMQtt61TW4xeJFGa6xbNjqQp6j20YPax344JPQIcaQlrsuI%2Bby5qiFvTfIVCv1oejiUI%2B1OK%2FSljSij7Fbc%2FwcWvuMIu1kkd%2BtOn%2B%2FTUvfh7nhRGyCQQlZN5w0TRAtHuurMU2a%2BV2q7LbfV%2B%2FNCYk6NBuFVM4IgsGyuVMUlH1HwTdYXiXvbZikiw%3D%3D%7Ctkp%3ABk9SR-KVhK3gZg,https://i.ebayimg.com/images/g/7qUAAeSwuVdpDhVq/s-l500.webp
Salomon Snowblades Mini Skis  89cm,Gebraucht,62.91,CHF,Kanada,51.4,114.31,Ski,https://www.ebay.ch/itm/157511981453?_skw=ski&itmmeta=01KC1D11A9HP9NSRZ5TVRRT6Q6&hash=item24ac72198d:g:ALgAAeSws35pLNgh&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eatTNgNmhW1dkTp%2Bj6lFsi4YSI8CSPujN546uyYxoGpi%2BZkQhioGIQYzazLLosU5Lfb3U0lkBhxR%2FC36cwI3i13ua5CSqQdv9rfvDJAp85u7CeqYaQbCy2tAXIP9ETaSY067QOZ%2F8tVdm5C5OlWth0n%2FUCP5tV5wiKm2ND8CSYu73mMzDsm0bRWfRKmWNYyT4EzzHpKSlxaaaVMcIT%2Fu2EIu6P01Q2JGy61oUi8S3bQ0Y5ImRGB4G2xlBSiZI27KrUfhIFnbpDpO7XxY1UM2%2Fx%7Ctkp%3ABk9SR-KVhK3gZg,https://i.ebayimg.com/images/g/ALgAAeSws35pLNgh/s-l500.webp
Vintage Black Diamond Riva-Z Telemark Skikabelbindung mit G3 Riser,Gebraucht,39.25,CHF,Vereinigte Staaten von Amerika,37.87,77.12,Ski,https://www.ebay.ch/itm/205895003506?_skw=ski&itmmeta=01KC1D11A9AD955GZNNE0ZJ6VH&hash=item2ff04c6d72:g:HAQAAeSwid5pMJko&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1czEvH7%2F1DgsTIrFUIQCAvMWyhsVdhNcNldI7pXIx1tkqZcCxkYlLfspKW%2BisvZZrIF4atttewIm8BAZU015CUOsRn0mfyeGW5pbcN4naQrYFSy%2BMpln0EKYYOcLI2IgChGN0dZeF0D1dEtFFvqE%2BSBtkSpwZ6ZiJAvxMEw0P7zF9DGTG%2FddXXtJV0aruphaLbXFHf455fqusVCQrKRumVDpQHBafhz2%2BZVQ%2FtopA8o%2Bg%3D%3D%7Ctkp%3ABk9SR-KVhK3gZg,https://i.ebayimg.com/images/g/HAQAAeSwid5pMJko/s-l500.webp
Classic Ski Sticker Pack - Park City Vuarnet Rossignol Aspen Oakley Volkl K2,Brandneu,13.08,CHF,Vereinigte Staaten von Amerika,4.36,17.44,Ski,https://www.ebay.ch/itm/224475350351?_skw=ski&itmmeta=01KC1D11A9V9VJ8Z8JX85PBBGK&hash=item3443c6054f:g:My8AAOSwAIpgrn5T&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1c%2BeSjxOvAyNay8z44Ap3lwtf5KJgxgSQ4lmsaIVvBmFHn3bS4DrKjxAHHpPYrIhQgcpyFIXCkB0ME2gBCQrArDSJGxPfNUU2z2bUxmNtf781gyXgOwwWzYhoXYamntk7vAEcl%2FHI8GpiIZkE%2BS9H17rdEkGiWB%2Fp%2BX7jovAnH1f3eg7%2Fwl9X8%2Fk6YQCw8nMlvZRPVkvn%2BtkldM%2FKsjNvC%2BYXAQeXHDnonyzYimvfOO%2BmWIrKPTQOcgjXwADlwTNu1GxycOrhPgJBuW%2FLKf807r%7Ctkp%3ABk9SR-KVhK3gZg,https://i.ebayimg.com/images/g/My8AAOSwAIpgrn5T/s-l500.webp
Snowbladetasche schwarz/weiß Skitasche bis 110cm Neu,Brandneu,45.57,CHF,Deutschland,38.57,84.14,Ski,https://www.ebay.ch/itm/202071857605?_skw=ski&itmmeta=01KC1D11A9N0MZNNTWYMMS5YEY&hash=item2f0c6bd9c5:g:FZMAAOSw1HxZ00YD&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1e4NGcmqH5NefIii22WWfbgQRGqSjWZEjYYvR84L0iXrNlsgmhFdAX9Q%2BOTybsqIE6atTndx2Xp1Ixy9lXeyMqaQ3nSJZlhn5Dqfd1J%2BmOoNW%2FgrrA5MTsLBgn%2F7LZUDuBJw8rro1%2FItP3y0x1sHGVoKaebKdV0cigJ5wfxXq0UKHA5WpdubymlI7gp0PwnXp1kcA1Tk%2B91FoVz6N4OEGAYdW4N%2BpdPTMxIoEDK%2FQf2e24yXi3l8D34WNEUHw0EspcGkJR4l%2B8GR%2FxF5GvbyVEd%7Ctkp%3ABk9SR-KVhK3gZg,https://i.ebayimg.com/images/g/FZMAAOSw1HxZ00YD/s-l500.webp
HEAD Johnny 94 Twin Tip Ski 173cm W Tyrolia SP120 DEMO verstellbare Skibindung,Gebraucht,60.51,CHF,Vereinigte Staaten von Amerika,4.9,65.41,Ski,https://www.ebay.ch/itm/376748818834?_skw=ski&itmmeta=01KC1D11A98B104Z2GVQVDN3GD&hash=item57b7fac192:g:pLIAAOSwM6RoDvsu&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1caul3%2F0%2B8h3Oyl9X04v9Q8lX7BVHTHbf5JCmEHBv9ZFkEFUJpIS0MpnAhFnt%2FvvEnyi5U8aZ2yR5g93zI6F%2F7ZV0%2FcxhA5e9oyH1e%2FoRVi1CM73sClB6uLC96SL%2FBVtC94Q7VikMd%2FhglieyL45SV%2FjzGmcx5J0oG3TwtKX%2FKLmprqYrKp65z7nccnm9lHYkKf0IPKUCEhrZ%2F%2BUMmJYadjaFvX%2FCeXv105BPogZCiM9Q%3D%3D%7Ctkp%3ABk9SR-KVhK3gZg,https://i.ebayimg.com/images/g/pLIAAOSwM6RoDvsu/s-l500.webp
OG Salomon Snow Blade Ski Blades Mini Ski 90cm mit Bindung und Tragetasche Tasche,Gebraucht,50.95,CHF,Grossbritannien,48.3,99.25,Ski,https://www.ebay.ch/itm/205860196496?_skw=ski&itmmeta=01KC1D11A939VJ75EQYYKJ7W3T&hash=item2fee395090:g:FWsAAeSwem9oqPK-&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cFJPy5STJsztG%2FftaANGVvbs1XtfSrKlnTDvpbVMZu0D3Wuf3edKz5oMde%2FQo9vJYvZpaPwx8iapdMqo3uJSBak0lN8P4qU6JiFZOPzE5SZFyj7ji%2Fp04v630LUxwoR9O6XcWlSPmSRoGBrRcb5OJZvRP%2BJYPK0LXDN02R7NZAXjYYZfHy4GsHaWyQRzxsTUUbw8yxiB98inUYRhBDNBUK1Gko57Rda4Wv8t4K0OKroA%3D%3D%7Ctkp%3ABk9SR-KVhK3gZg,https://i.ebayimg.com/images/g/FWsAAeSwem9oqPK-/s-l500.webp
Vintage F.D. Peters Co Kinder Skilittschuhe im Karton Peters' Ski Skates,Gebraucht,36.31,CHF,Vereinigte Staaten von Amerika,2.94,39.25,Ski,https://www.ebay.ch/itm/197924154082?_skw=ski&itmmeta=01KC1D11A9R9DERK00CJ1K06RY&hash=item2e1532eae2:g:itsAAeSwH9ZpMiw~&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eMTD0cHMxawMz0Y0MwWbOpZ7eN6si6XsJOy6svgiIghyNDL3dmfjDnU6SIVULkD4LaSiYuAUlPzrLkmah%2FXBkQiLZrV68fZfw0gDZln3vIZ7th0qth6iHt0UZmnACq8wMmOcxfoPm3BcTq45deFaTOxnP1wb%2FxC084n5T8ZEulldZSDpUAwAXhZky3vn2oBjKiZcSZcNEpYIw5b8EAfflV6ikmLQxPuG8TT7ipoigEQw%3D%3D%7Ctkp%3ABk9SR-KVhK3gZg,https://i.ebayimg.com/images/g/itsAAeSwH9ZpMiw~/s-l500.webp
WHITEWOODS Wildcat Set ohne Stöcke Ski (Wildcat-Set),Neu (Sonstige),39.25,CHF,Vereinigte Staaten von Amerika,57.68,96.93,Ski,https://www.ebay.ch/itm/366040496731?_skw=ski&itmmeta=01KC1D11A9283EYJXN3BMV94TH&hash=item5539b6ba5b:g:TwIAAeSw7QVpMwSa&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cY%2BY8XvYJBrFCYncLGgFDUbdHS7%2Boou8kXFcK3tYrd%2Bjc8Um9VXVYgOg7Dge6qK6bkavZg%2FmZLF%2FzKGhJQC50itWiwx6%2BRuLi203%2F0ZfJqTkQB9lO41aE8Ttcg7MlkxkERj%2BUZQOPTrt8x%2BTf1hvXTUNpdB%2BTc6e6J33lO0gKeGWYSDV8Su0qLp%2F3jsasWpU9DzEO7khKp74kbNZo5s8eUIkMJh9UZpW5mgQtpjY2b4Q%3D%3D%7Ctkp%3ABk9SR-KVhK3gZg,https://i.ebayimg.com/images/g/TwIAAeSw7QVpMwSa/s-l500.webp
Whitewoods Schneemann 70 cm Langlauf Hinterhof Ski Set Alter 2-4 ohne Stöcke,Brandneu,43.56,CHF,Vereinigte Staaten von Amerika,31.23,74.79,Ski,https://www.ebay.ch/itm/177424713683?_skw=ski&itmmeta=01KC1D11A9WV4PWBMGT2VB33VV&hash=item294f5647d3:g:0f8AAeSwJKxozYXI&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fIyW%2FxSeDvEEoqxvP8MgYJwCl8HoqaoLAB2Codw7iY9x23vod992%2B68k49KOQ49NpeoVnRi%2FIN0u9jjvOcO%2Fh7e6P7glB0wqMEWny1FUglSeLzLL8HtDhhb1Ks%2F5K8%2B0ayYZU9BillBUgyMxhNIgnsV%2BYVgRFg4NuLkpCXCKcJ4W40Oe4Z3go2MovOmu7Y%2FFFbd9gbh4SFqXQKJlQe5zgsx%2Be9Rl3ldVOPKIjRzpHYNCXHKlXIQiZRv6bBlUV2PHTR14dFMOk0gpNFQaoDLJH5%7Ctkp%3ABk9SR-SVhK3gZg,https://i.ebayimg.com/images/g/0f8AAeSwJKxozYXI/s-l500.webp
